alpha,beta,gamma,tau,scf_bc
40,0.2,32,0.4,3.086937305
4,0.3,32,0.4,3.574314469
13,0.3,32,0.4,2.216343633
22,0.3,32,0.4,2.019180374
31,0.3,32,0.4,2.014785983
40,0.3,32,0.4,2.013822199
4,0.4,32,0.4,16.05954903
13,0.4,32,0.4,1.433941725
22,0.4,32,0.4,1.205802067
31,0.4,32,0.4,1.083662385
40,0.4,32,0.4,1.114969877
4,0.5,32,0.4,3.638053426
13,0.5,32,0.4,1.080021416
22,0.5,32,0.4,0.632404404
31,0.5,32,0.4,0.622423989
40,0.5,32,0.4,0.635822163
4,0.6,32,0.4,35.36809158
13,0.6,32,0.4,1.086477516
22,0.6,32,0.4,0.649466433
31,0.6,32,0.4,0.619174988
40,0.6,32,0.4,0.61740278
4,0.7,32,0.4,1.632713674
13,0.7,32,0.4,1.530374074
22,0.7,32,0.4,0.898745089
31,0.7,32,0.4,0.857079361
40,0.7,32,0.4,0.847486726
4,0.2,8,0.6,1.047992116
13,0.2,8,0.6,0.720178053
22,0.2,8,0.6,0.71967082
31,0.2,8,0.6,0.719783272
40,0.2,8,0.6,0.719678342
4,0.3,8,0.6,1.255163186
13,0.3,8,0.6,0.72717733
22,0.3,8,0.6,0.725587357
31,0.3,8,0.6,0.725515241
40,0.3,8,0.6,0.725522295
4,0.4,8,0.6,1.464763162
13,0.4,8,0.6,0.784588276
22,0.4,8,0.6,0.78297757
31,0.4,8,0.6,0.782864013
40,0.4,8,0.6,0.782973564
4,0.5,8,0.6,1.742999469
13,0.5,8,0.6,0.850004999
22,0.5,8,0.6,0.848454864
31,0.5,8,0.6,0.848185732
40,0.5,8,0.6,0.848036823
4,0.6,8,0.6,2.061913382
13,0.6,8,0.6,0.920677044
22,0.6,8,0.6,0.9188244
31,0.6,8,0.6,0.918489394
40,0.6,8,0.6,0.918388234
4,0.7,8,0.6,2.363828163
13,0.7,8,0.6,0.97313276
22,0.7,8,0.6,0.969469301
31,0.7,8,0.6,0.969160422
40,0.7,8,0.6,0.968998708
4,0.2,20,0.6,1.885485692
13,0.2,20,0.6,1.16414887
22,0.2,20,0.6,1.096752688
31,0.2,20,0.6,1.095370819
40,0.2,20,0.6,2.346161475
4,0.3,20,0.6,2.203639863
13,0.3,20,0.6,1.319345186
22,0.3,20,0.6,1.229470964
31,0.3,20,0.6,1.22869811
40,0.3,20,0.6,1.228315572
4,0.4,20,0.6,2.547753336
13,0.4,20,0.6,1.102107598
22,0.4,20,0.6,0.982353415
31,0.4,20,0.6,0.981165918
40,0.4,20,0.6,0.980827502
4,0.5,20,0.6,2.791131624
13,0.5,20,0.6,0.836640927
22,0.5,20,0.6,0.691858121
31,0.5,20,0.6,0.690546943
40,0.5,20,0.6,0.689994411
4,0.6,20,0.6,10.92820642
13,0.6,20,0.6,0.783150861
22,0.6,20,0.6,0.624517464
31,0.6,20,0.6,0.623625499
40,0.6,20,0.6,0.623091277
4,0.7,20,0.6,14.87812645
13,0.7,20,0.6,0.889871721
22,0.7,20,0.6,0.747127745
