alpha,beta,gamma,tau,scf_cc
40,0.2,32,0.4,2.418133768
4,0.3,32,0.4,2.946504838
13,0.3,32,0.4,2.023379604
22,0.3,32,0.4,1.404137858
31,0.3,32,0.4,1.386039457
40,0.3,32,0.4,1.384209084
4,0.4,32,0.4,1.136353135
13,0.4,32,0.4,1.912590672
22,0.4,32,0.4,4.536489089
31,0.4,32,0.4,1.093591643
40,0.4,32,0.4,1.091439968
4,0.5,32,0.4,3.543270565
13,0.5,32,0.4,2.014284231
22,0.5,32,0.4,1.148392695
31,0.5,32,0.4,1.124091657
40,0.5,32,0.4,1.121510062
4,0.6,32,0.4,5.185227037
13,0.6,32,0.4,2.061963218
22,0.6,32,0.4,1.206425904
31,0.6,32,0.4,1.17699229
40,0.6,32,0.4,1.173896627
4,0.7,32,0.4,3.166930469
13,0.7,32,0.4,2.019290896
22,0.7,32,0.4,1.17834975
31,0.7,32,0.4,1.148032825
40,0.7,32,0.4,1.143002202
4,0.2,8,0.6,2.234928048
13,0.2,8,0.6,2.345075068
22,0.2,8,0.6,2.342823125
31,0.2,8,0.6,2.341465077
40,0.2,8,0.6,2.340717853
4,0.3,8,0.6,2.471047949
13,0.3,8,0.6,2.535091491
22,0.3,8,0.6,2.531072067
31,0.3,8,0.6,2.528957135
40,0.3,8,0.6,2.527760238
4,0.4,8,0.6,2.45380521
13,0.4,8,0.6,2.370675003
22,0.4,8,0.6,2.364602091
31,0.4,8,0.6,2.361912822
40,0.4,8,0.6,2.360290485
4,0.5,8,0.6,2.382943311
13,0.5,8,0.6,2.052399518
22,0.5,8,0.6,2.044794242
31,0.5,8,0.6,2.041306511
40,0.5,8,0.6,2.039442046
4,0.6,8,0.6,2.32621435
13,0.6,8,0.6,1.704919117
22,0.6,8,0.6,1.696193348
31,0.6,8,0.6,1.692292186
40,0.6,8,0.6,1.690187402
4,0.7,8,0.6,2.254599814
13,0.7,8,0.6,1.376374796
22,0.7,8,0.6,1.365793184
31,0.7,8,0.6,1.361829858
40,0.7,8,0.6,1.359660671
4,0.2,20,0.6,3.832439317
13,0.2,20,0.6,4.061079398
22,0.2,20,0.6,3.943207463
31,0.2,20,0.6,3.944274466
40,0.2,20,0.6,4.78710964
4,0.3,20,0.6,3.506802031
13,0.3,20,0.6,3.069572292
22,0.3,20,0.6,2.854026065
31,0.3,20,0.6,2.853744574
40,0.3,20,0.6,2.852009596
4,0.4,20,0.6,3.615260222
13,0.4,20,0.6,2.279003883
22,0.4,20,0.6,1.986667876
31,0.4,20,0.6,1.984964067
40,0.4,20,0.6,1.982594567
4,0.5,20,0.6,3.845200126
13,0.5,20,0.6,1.848017405
22,0.5,20,0.6,1.517080362
31,0.5,20,0.6,1.514405913
40,0.5,20,0.6,1.511611522
4,0.6,20,0.6,3.178247829
13,0.6,20,0.6,1.609021823
22,0.6,20,0.6,1.276573722
31,0.6,20,0.6,1.27322201
40,0.6,20,0.6,1.270212677
4,0.7,20,0.6,4.715647439
13,0.7,20,0.6,1.413217444
22,0.7,20,0.6,1.12100817
31,0.7,20,0.6,1.116256956
40,0.7,20,0.6,1.113226815
4,0.2,32,0.6,4.350435378
13,0.2,32,0.6,4.351770003
22,0.2,32,0.6,3.821821781
31,0.2,32,0.6,3.804433282
40,0.2,32,0.6,3.803283509
4,0.3,32,0.6,4.082448531
13,0.3,32,0.6,3.083456357
22,0.3,32,0.6,2.124727589
31,0.3,32,0.6,2.096366106
40,0.3,32,0.6,2.09337041
4,0.4,32,0.6,4.683332757
13,0.4,32,0.6,2.683244274
22,0.4,32,0.6,1.444979748
31,0.4,32,0.6,1.409738936
40,0.4,32,0.6,1.405335594
4,0.5,32,0.6,5.004172037
13,0.5,32,0.6,2.680827808
22,0.5,32,0.6,1.333650196
31,0.5,32,0.6,1.296097192
40,0.5,32,0.6,1.291088281
4,0.6,32,0.6,5.984330285
13,0.6,32,0.6,2.661311944
22,0.6,32,0.6,1.355754731
31,0.6,32,0.6,1.31842103
40,0.6,32,0.6,1.313374993
4,0.7,32,0.6,8.115257817
13,0.7,32,0.6,2.474105217
22,0.7,32,0.6,1.314833569
31,0.7,32,0.6,1.275278045
40,0.7,32,0.6,1.270416183
4,0.2,8,0.8,2.655250025
13,0.2,8,0.8,2.746695066
22,0.2,8,0.8,2.742904726
31,0.2,8,0.8,2.741576586
40,0.2,8,0.8,2.741079176
4,0.3,8,0.8,3.118798134
13,0.3,8,0.8,3.134358691
22,0.3,8,0.8,3.128431363
31,0.3,8,0.8,3.125382224
40,0.3,8,0.8,3.123413242
4,0.4,8,0.8,3.183407467
13,0.4,8,0.8,3.023943139
22,0.4,8,0.8,3.014787355
31,0.4,8,0.8,3.010855255
40,0.4,8,0.8,3.008700241
4,0.5,8,0.8,3.092782866
13,0.5,8,0.8,2.668853714
22,0.5,8,0.8,2.657348368
31,0.5,8,0.8,2.652088607
40,0.5,8,0.8,2.649303673
4,0.6,8,0.8,2.958946392
13,0.6,8,0.8,2.212718854
22,0.6,8,0.8,2.199329318
31,0.6,8,0.8,2.193442094
40,0.6,8,0.8,2.190392122
4,0.7,8,0.8,2.795782441
13,0.7,8,0.8,1.742808879
22,0.7,8,0.8,1.728762783
31,0.7,8,0.8,1.722762497
40,0.7,8,0.8,1.719850082
4,0.2,20,0.8,5.042069705
13,0.2,20,0.8,5.28132862
22,0.2,20,0.8,5.11163735
31,0.2,20,0.8,5.1128196
40,0.2,20,0.8,5.921603117
4,0.3,20,0.8,4.706420649
13,0.3,20,0.8,4.173453168
22,0.3,20,0.8,3.87377795
31,0.3,20,0.8,3.873339117
40,0.3,20,0.8,3.870863982
4,0.4,20,0.8,4.653092121
13,0.4,20,0.8,3.094553428
22,0.4,20,0.8,2.690730881
31,0.4,20,0.8,2.688292228
40,0.4,20,0.8,2.684892274
4,0.5,20,0.8,4.857727315
13,0.5,20,0.8,2.395593187
22,0.5,20,0.8,1.940095742
31,0.5,20,0.8,1.936025866
40,0.5,20,0.8,1.931927435
4,0.6,20,0.8,4.920098034
13,0.6,20,0.8,1.970024748
22,0.6,20,0.8,1.516668303
31,0.6,20,0.8,1.511578843
40,0.6,20,0.8,1.507091824
4,0.7,20,0.8,4.763210323
13,0.7,20,0.8,1.649729412
22,0.7,20,0.8,1.252682338
31,0.7,20,0.8,1.247045858
40,0.7,20,0.8,1.242516868
4,0.2,32,0.8,5.952642683
13,0.2,32,0.8,5.970694342
22,0.2,32,0.8,5.241312374
31,0.2,32,0.8,5.21701482
40,0.2,32,0.8,5.215740367
4,0.3,32,0.8,5.387727938
13,0.3,32,0.8,4.318722671
22,0.3,32,0.8,3.021421698
31,0.3,32,0.8,2.982174212
40,0.3,32,0.8,2.978214402
4,0.4,32,0.8,5.845951034
13,0.4,32,0.8,3.551913396
22,0.4,32,0.8,1.85169481
31,0.4,32,0.8,1.802456708
40,0.4,32,0.8,1.796357924
4,0.5,32,0.8,6.270362569
13,0.5,32,0.8,3.326353777
22,0.5,32,0.8,1.472158481
31,0.5,32,0.8,1.419367601
40,0.5,32,0.8,1.412277865
4,0.6,32,0.8,4.73824864
13,0.6,32,0.8,3.171939898
22,0.6,32,0.8,1.362337284
31,0.6,32,0.8,1.311696653
40,0.6,32,0.8,1.304401295
4,0.7,32,0.8,8.906507122
13,0.7,32,0.8,2.862179435
22,0.7,32,0.8,1.29679454
31,0.7,32,0.8,1.250016681
40,0.7,32,0.8,1.243108525
4,0.2,8,1,2.925583794
13,0.2,8,1,2.997333943
22,0.2,8,1,2.993176509
31,0.2,8,1,2.991213195
40,0.2,8,1,2.98973961
4,0.3,8,1,3.630244933
13,0.3,8,1,3.584484517
22,0.3,8,1,3.577699875
31,0.3,8,1,3.57277921
40,0.3,8,1,3.570418326
4,0.4,8,1,3.834538096
13,0.4,8,1,3.570050835
22,0.4,8,1,3.85968233
31,0.4,8,1,3.552149807
40,0.4,8,1,3.549015322
4,0.5,8,1,3.764982852
13,0.5,8,1,3.213096209
22,0.5,8,1,3.197687693
31,0.5,8,1,3.190442344
40,0.5,8,1,3.775289607
4,0.6,8,1,3.563597987
13,0.6,8,1,2.689766053
22,0.6,8,1,2.67128045
31,0.6,8,1,2.663378138
40,0.6,8,1,2.658945066
4,0.7,8,1,3.300979733
13,0.7,8,1,2.114190003
22,0.7,8,1,2.094660901
31,0.7,8,1,2.086020962
40,0.7,8,1,2.081382813
4,0.2,20,1,6.145493235
13,0.2,20,1,6.319346768
22,0.2,20,1,6.091077058
31,0.2,20,1,6.09080049
40,0.2,20,1,6.08890171
4,0.3,20,1,5.82674618
13,0.3,20,1,5.139925326
22,0.3,20,1,4.749819453
31,0.3,20,1,4.74921083
40,0.3,20,1,4.746017286
4,0.4,20,1,5.696938234
13,0.4,20,1,3.85799667
22,0.4,20,1,3.334134013
31,0.4,20,1,3.330877814
40,0.4,20,1,3.326338365
4,0.5,20,1,5.84350034
13,0.5,20,1,2.919484007
22,0.5,20,1,2.327332448
31,0.5,20,1,2.321898931
40,0.5,20,1,2.316347882
4,0.6,20,1,5.91184199
13,0.6,20,1,2.300262937
22,0.6,20,1,1.715710569
31,0.6,20,1,1.708804573
40,0.6,20,1,1.702673393
4,0.7,20,1,5.726861533
13,0.7,20,1,1.846101424
22,0.7,20,1,1.340582706
31,0.7,20,1,1.333070437
40,0.7,20,1,1.32689618
4,0.2,32,1,7.363271501
13,0.2,32,1,7.379838698
22,0.2,32,1,6.435296346
31,0.2,32,1,3.314166145
40,0.2,32,1,6.402141004
4,0.3,32,1,6.704218845
13,0.3,32,1,5.45091934
22,0.3,32,1,3.772795637
31,0.3,32,1,3.721756531
40,0.3,32,1,3.716718785
4,0.4,32,1,6.990413959
13,0.4,32,1,4.344071189
22,0.4,32,1,2.1378164
31,0.4,32,1,2.073213014
40,0.4,32,1,2.065342554
4,0.5,32,1,7.447550396
13,0.5,32,1,3.898879572
22,0.5,32,1,1.487714328
31,0.5,32,1,1.418165803
40,0.5,32,1,1.40883993
4,0.6,32,1,1.924057427
13,0.6,32,1,3.609400552
22,0.6,32,1,1.300785832
31,0.6,32,1,1.235027547
40,0.6,32,1,1.215395631
4,0.7,32,1,7.072799516
13,0.7,32,1,3.198855404
22,0.7,32,1,1.183219979
31,0.7,32,1,1.125721599
40,0.7,32,1,1.111278645
